Passing TDs	Player	Position	Pts	Salary	Team	Points
0	A.J. Derby	TE	12	705000	2TM	12
0	A.J. Green	WR	48	10550000	CIN	48
0	Aaron Jones	RB	24	489706	GNB	24
0	Adam Humphries	WR	6	2914000	TAM	6
0	Adam Shaheen	TE	18	733661	CHI	18
0	Adam Thielen	WR	24	3850000	MIN	24
0	Adam Vinatieri	K	109	2625000	IND	109
0	Adrian Amos	FS	6	1907000	CHI	6
0	Adrian Clayborn	DL	6	1500000	ATL	6
0	Adrian Peterson	RB	12	1015000	2TM	12
0	Albert Wilson	WR	18	790000	KAN	18
0	Aldrick Robinson	WR	12	697059	SFO	12
0	Aldrick Rosas	K	74	555000	NYG	74
0	Alec Ogletree	OLB	6	3000000	LAR	6
0	Alex Collins	RB	36	630000	BAL	36
0	Alex Erickson	WR	6	630000	CIN	6
26	Alex Smith	QB	6	13000000	KAN	162
0	Alfred Blue	RB	6	790000	HOU	6
0	Alfred Morris	RB	6	790000	DAL	6
0	Allen Hurns	WR	12	2500000	JAX	12
0	Alshon Jeffery	WR	60	1000000	PHI	60
0	Alvin Kamara	RB	86	6350000	NOR	86
0	Amari Cooper	WR	42	700000	OAK	42
0	Ameer Abdullah	RB	30	876745	DET	30
0	Andre Holmes	WR	18	1000000	BUF	18
0	Andy Janovich	FB	6	630000	DEN	6
0	Anthony Chickillo	DE	6	1907000	PIT	6
0	Anthony Sherman	RB	6	2000000	KAN	6
0	Antonio Brown	WR	56	915000	PIT	56
0	Antonio Gates	TE	18	1500000	LAC	18
0	Aqib Talib	DB	6	11000000	DEN	6
0	A'Shawn Robinson	DT	6	925785	DET	6
0	Austin Ekeler	RB	30	555000	LAC	30
0	Austin Hooper	TE	18	630000	ATL	18
0	Austin Seferian-Jenkins	TE	18	790000	NYJ	18
0	Barry Church	DB	6	4500000	JAX	6
0	Bashaud Breeland	CB	6	650588	WAS	6
0	Ben Koyack	TE	2	259413	JAX	2
0	Ben Watson	TE	24	1105000	BAL	24
0	Bennie Fowler	WR	18	456176	DEN	18
0	Benny Cunningham	RB	12	800000	CHI	12
0	Bilal Powell	RB	30	4000000	NYJ	30
0	Blake Bell	TE	2	456176	MIN	2
21	Blake Bortles	QB	12	5000000	JAX	138
0	Blake Countess	CB	6	630000	LAR	6
0	Bobby Wagner	ILB	8	10000000	SEA	8
0	Brandin Cooks	WR	44	4000000	NWE	44
0	Brandon Graham	DE	6	7000000	PHI	6
0	Brandon King	DB	2	775000	NWE	2
0	Brandon LaFell	WR	18	915000	CIN	18
0	Brandon Marshall	OLB	6	5000000	DEN	6
0	Brandon Marshall	WR	6	417941	DEN	6
0	Brandon McManus	K	99	2250000	DEN	99
0	Brandon Williams	CB	6	656000	BAL	6
0	Brandon Williams	DT	6	1000000	BAL	6
4	Brian Hoyer	QB	6	915000	2TM	30
0	Brice Butler	WR	18	697059	DAL	18
5	Brock Osweiler	QB	6	790000	DEN	36
0	Bruce Ellington	WR	12	371765	HOU	12
0	Bryce Callahan	CB	6	1907000	CHI	6
0	Byron Jones	CB	6	1607991	DAL	6
0	C.J. Anderson	RB	26	800000	DEN	26
4	C.J. Beathard	QB	18	625393	SFO	42
0	C.J. Ham	RB	6	555000	MIN	6
0	C.J. Mosley	ILB	6	8718000	BAL	6
0	C.J. Uzomah	TE	6	705000	CIN	6
0	Cairo Santos	K	26	604118	2TM	26
0	Calais Campbell	DE	6	15000000	JAX	6
0	Caleb Sturgis	K	10	1000000	PHI	10
22	Cam Newton	QB	38	14500000	CAR	170
0	Cameron Artis-Payne	RB	6	705000	CAR	6
0	Cameron Brate	TE	36	1000000	TAM	36
0	Cameron Jordan	DE	6	8650000	NOR	6
0	Carlos Dunlap	DE	6	1000000	CIN	6
0	Carlos Hyde	RB	48	1500000	SFO	48
22	Case Keenum	QB	6	8000000	MIN	138
0	Chandler Catanzaro	K	104	1350000	NYJ	104
0	Charles Clay	TE	12	4500000	BUF	12
0	Chester Rogers	WR	6	630000	IND	6
0	Chris Boswell	K	142	705000	PIT	142
0	Chris Carson	RB	6	555000	SEA	6
0	Chris Godwin	WR	6	581500	TAM	6
0	Chris Hogan	WR	30	3000000	NWE	30
0	Chris Ivory	RB	12	1000000	JAX	12
0	Chris Moore	WR	24	630000	BAL	24
0	Chris Thompson	RB	36	1996000	WAS	36
0	Christian McCaffrey	RB	42	1248695	CAR	42
0	Cody Latimer	WR	14	975000	DEN	14
0	Cody Parkey	K	89	1250000	MIA	89
0	Cole Beasley	WR	24	3250000	DAL	24
0	Cooper Kupp	WR	30	640000	LAR	30
0	Cordarrelle Patterson	WR	12	3000000	OAK	12
0	Corey Clement	RB	38	555000	PHI	38
0	Corey Coleman	WR	12	2955922	CLE	12
0	Corey Grant	RB	12	2914000	JAX	12
0	D.J. Hayden	CB	6	2250000	DET	6
22	Dak Prescott	QB	36	630000	DAL	168
0	Dalvin Cook	RB	12	753788	MIN	12
0	Damarious Randall	FS	6	1090381	GNB	6
0	Damien Williams	RB	6	790000	MIA	6
0	Damiere Byrd	WR	18	630000	CAR	18
0	Dan Bailey	K	71	1750000	DAL	71
0	Danny Amendola	WR	12	2950000	NWE	12
0	Dante Fowler	OLB	6	3638216	JAX	6
0	Darqueze Dennard	CB	6	8526000	CIN	6
0	Darren Fells	TE	18	1150000	DET	18
0	Darrius Heyward-Bey	WR	6	1200000	PIT	6
0	Davante Adams	WR	60	1000000	GNB	60
0	David Morgan	TE	6	630000	MIN	6
0	David Njoku	TE	24	897959	CLE	24
0	Dean Lowry	DE	6	630000	GNB	6
0	DeAndre Hopkins	WR	78	12500000	HOU	78
0	DeAndre Washington	RB	18	630000	OAK	18
0	De'Anthony Thomas	RB	12	790000	KAN	12
0	Dede Westbrook	WR	6	555000	JAX	6
0	Delanie Walker	TE	24	2570000	TEN	24
0	Demaryius Thomas	WR	30	8500000	DEN	30
0	Demetrius Harris	TE	6	1850000	KAN	6
0	Deonte Thompson	WR	12	790000	2TM	12
0	Derek Barnett	DE	6	1049126	PHI	6
0	Derrick Henry	RB	36	941630	TEN	36
0	DeSean Jackson	WR	18	11000000	TAM	18
19	Deshaun Watson	QB	14	1094740	HOU	128
11	DeShone Kizer	QB	30	689928	CLE	96
